Geneid,"RNA STAR on dataset 4, 5, and others: mapped.bam"
dsx,468
CD98hc,747
Os-C,758
Sfp84E,1
CG2781,1514
PIG-H,47
Kmn2,11
CG2698,430
CG2767,1258
CG11052,49
CG3223,473
CG10435,41
Pbp95,11
CG2747,489
ImpE3,7
CG10903,37
CG11035,85
unc-45,81
CG43060,1
CG43618,2
CG43061,1
mAChR-B,187
CG7910,5
CG7900,112
puc,341
CG7878,94
CG9667,21
Gie,522
grn,154
CheA84a,1
CG7800,27
CG18249,136
DNApol-iota,155
Ada2b,285
CG9636,468
CG18749,0
CG33722,114
CG15864,0
mtg,71
RpA-70,105
Mcm2,8
CG9630,30
ato,2
CG11671,8
CG11672,0
CG31464,0
CG31463,0
CG9626,29
mRpL1,97
nac,35
Sgt1,561
tex,14
CG11693,0
CG11694,0
CG11698,0
CG7483,174
Coq2,26
Ctr1B,59
Poxm,6
Or85a,1
CG7443,0
COX7A,2037
Arl2,12
CG9601,32
COX7AL,0
DppIII,231
CG7352,1
Atg13,984
stck,629
CG9684,33
CG7963,0
CG45263,662
Obp85a,0
Or85b,1
Or85c,0
CG11737,122
CG31454,0
CG31259,0
CG11741,3
Or85d,3
pch2,44
mRpS18A,60
CG31460,34
Cenp-C,4
5-HT2B,274
Or85e,0
Cyp313b1,20
Mkk4,1013
SLIRP2,92
Dhod,111
CG11753,90
CG42489,107
bel,940
p,137
CG8032,299
CG8036,857
mRpL19,30
CG9773,61
CG11755,22
CG8043,32
CG33325,0
CG44227,0
hb,14
Cks85A,213
CG8112,736
TMEM216,224
CG11760,0
CG8136,7
nom,79
ouib,0
CG8159,10
ranshi,23
M1BP,94
CG8202,47
CG9801,640
CG8223,152
CG11768,118
CG34135,0
CG8236,2
CG13318,35
CG34301,7
Pif1A,6212
Pif1B,0
CG33191,7
CG33189,15
Ir85a,8
CCT7,340
CG9839,8
hng2,7
CG9837,314
CG9821,1666
CG8369,4827
IscU,2795
CG8379,66
pyd,555
osk,0
skap,5590
CG11964,46
CG11966,1
CAHbeta,384
RagA-B,316
CG11970,64
E(var)3-9,31
CG11975,198
CG31100,98
CG11977,0
CG11980,88
Prosbeta3,973
CG11982,73
CG11983,13
Kcmf1,1432
Sf3b5,113
CG11986,17
tgo,50
neur,177
hyx,92
Nmdmc,740
Rel,184
Mst85C,155
Kdm2,253
beag,34
Ada,2
pum,772
CG11997,12
D1,457
Vps15,85
CG8420,3
St2,6
CG16734,5
CG16736,0
Ibf2,43
Ibf1,61
VhaM8.9,2263
sage,8
TrpRS,201
Vps16A,81
CG8861,2472
HP1e,0
CG12951,0
CG16749,3
Aduk,140
pasi2,330
CG45050,7340
CG43675,1693
CG18473,18
CG8129,43
FER,890
Or85f,1
CG34117,226
RpL34b,908
CG8132,122
CG9356,54
CG8135,0
CG42511,474
CG44261,0
betaTub85D,6
Task7,376
alpha-Man-IIa,219
ps,3244
GstZ1,33
GstZ2,740
CG16779,915
phu,27
RhoL,225
CG8149,174
rump,788
Ras85D,1575
Rlb1,4
mRpL47,100
JHDM2,15
CG8176,526
by,898
mura,1243
RnpS1,41
