Geneid,"RNA STAR on dataset 4, 5, and others: mapped.bam"
ninaE,88384
CG4733,80
CG4538,1085
Surf6,20
RhoGAP92B,348
Xport-B,12
Xport-A,2057
CG4465,0
CG4770,1
CG4462,118
CG4459,4
Hs6st,562
mira,7
CG4783,15
CG31213,0
MED25,10
CG17190,37
CG4836,0
PIG-L,344
psidin,59
CG4424,8
CG4854,9
trem,19
CG4936,29
CG10889,32
CG17193,831
CG33934,0
Indy-2,0
CG4390,140
mdlc,18
Rh3,2270
CG31206,0
CG10887,0
Gr92a,0
CG5023,384
Nlg4,290
CG17199,0
cic,738
CG4367,0
CG4362,0
CG42668,542
CG4360,510
Sirt2,184
Ir92a,0
MtnC,0
Gfrl,1404
CG4335,56
eIF3g2,0
Dic2,0
MtnB,57
Or92a,1
MFS9,331
MtnE,26
MtnD,56
Stat92E,3853
DPCoAC,94
att-ORFB,532
CG5180,36
CG15922,227
CG5191,986
CG10877,11
TFAM,206
CG5412,64
EloB,1074
Srp14,236
CG34008,1
CG16953,1279
Sep2,261
Srp72,26
PUS1,30
bon,922
CG15923,35
CG5466,169
H,152
Pi3K92E,154
Lrrk,82
GluRIIE,3
GluRIID,7
Nep4,536
Cpr92F,88
CG4000,3997
Oamb,290
CG31205,1058
Cdk2,39
CG17267,0
CG42322,505
CG31199,622
CG31200,740
Prosalpha4T1,0
Syp,5126
CG31195,751
Takl1,0
Fancd2,0
CG17270,322
CG17271,363
RpS20,3256
CG17272,168
AdSS,1453
CG31223,8
Synd,1779
CG15695,138
CG15696,3
RpS30,3450
Ir93a,1
CG3822,237
TotA,1285
TotC,770
TotB,0
TotZ,0
Ktl,4865
Grik,40
TotX,44
CG31191,24
hdly,517
Atpalpha,8024
Calx,3851
CG43446,0
CG10827,0
CG5697,410
Rlip,504
CG17278,147
Dhc93AB,27
CG12278,9
CG31189,147
CG31207,223
CG7079,500
CG17279,68
Mvl,639
Cortactin,154
AnxB9,4921
r-l,60
dmrt93B,1
HHEX,0
RhoGAP93B,513
CG7044,43
CG5745,105
Sec15,110
rtet,9
Rab11,2368
ppan,26
Bdbt,62
slmb,2406
CG5793,115
Obp93a,0
Ice2,27
CG7009,16
Usp8,799
meigo,385
SNF4Agamma,1903
cDIP,61
CG5810,9
Snmp1,184
CG5862,130
Smyd5,15
Oga,55
CG3337,131
Nelf-A,81
e,1848
CG5892,0
ETHR,43
Rab1,5028
AP-2sigma,433
CG5919,121
CG3308,1967
CG3301,593
SIFaR,560
CG17298,39
CG16791,1686
mod(mdg4),304
pre-mod(mdg4)-B,0
pre-mod(mdg4)-H,0
pre-mod(mdg4)-G,0
pre-mod(mdg4)-L,0
pre-mod(mdg4)-I,0
pre-mod(mdg4)-J,0
pre-mod(mdg4)-K,1
pre-mod(mdg4)-P,0
pre-mod(mdg4)-Z,0
pre-mod(mdg4)-T,173
pre-mod(mdg4)-E,0
pre-mod(mdg4)-C,62
pre-mod(mdg4)-AB,0
pre-mod(mdg4)-W,0
pre-mod(mdg4)-AD,0
pre-mod(mdg4)-Y,118
pre-mod(mdg4)-AE,0
pre-mod(mdg4)-X,1
pre-mod(mdg4)-V,0
pre-mod(mdg4)-U,0
pre-mod(mdg4)-O,0
pre-mod(mdg4)-N,124
pre-mod(mdg4)-AA,0
tin,0
bap,1
CG6475,0
CG7907,0
CheB93a,0
CheB93b,0
lbl,25
lbe,29
Fancm,22
C15,32
CG7956,2474
slou,7
CG15498,3
InR,967
E2f1,389
Archease,90
CG15497,9
DNApol-alpha180,0
CG31176,80
Sfp93F,0
CG42869,0
CG42870,0
CG34034,29
CG5849,306
CG31343,1
CG31233,0
CG31198,0
CG42335,0
Burs,4
GABA-B-R2,347
CG6800,0
RpI12,28
tsl,457
CASK,1556
Gr93a,0
Gr93b,0
Gr93c,0
Gr93d,0
glec,111
lsn,111
CG6569,5
Cby,6
CG31174,10
CG31431,40
CG31178,1
CG6656,213
CG34148,89
P5CDh2,0
CG31465,1
fit,1034
CG17819,1
dnd,90
CG6678,8
CG43844,2
CG6690,0
CG17843,4
Eip93F,4646
CG6332,6
Idh3b,1704
Mitofilin,1097
mRpL35,107
CG6028,207
Cchl,1008
ND-42,1205
CG13409,104
CG6015,0
CG45099,839
pit,86
Fadd,48
how,1434
CG13408,51
CG5778,188
CG5791,280
CG13407,0
Ir94a,0
Ir94b,0
Ir94c,0
CG42390,532
SKIP,354
Gld2,7
CG7084,216
CG34377,51
CG7080,0
CG33721,0
CG13862,0
CG5391,7
CG5388,0
CG5386,0
rdhB,871
Sar1,3070
PSR,199
Muted,757
CG7071,0
CG5382,150
CG5380,34
PyK,6573
CG7069,0
CG18596,26
CG34149,4
CG43342,19
CG43343,7
CG5379,1
CG7059,262
CG13857,6
CG13856,26
CG13855,5
CG13850,44
lqfR,374
Nop56,183
mats,343
pinta,191
CG13847,0
CG12499,28
CG34288,6
CG34376,162
Rpn7,550
AP-2mu,1197
CG7054,169
Pebp1,3
CG5377,82
Nrx-1,1579
Pfdn5,195
CG5376,11
CCT1,335
tHMG1,1
tHMG2,0
Octbeta1R,917
CG5346,352
CG33099,9
CG33093,2
CG5326,124
AdipoR,5676
bond,1679
sit,101
CG33110,2936
CSN6,58
Dph5,172
CG33107,52
CG6937,50
btn,0
Efa6,614
CG31156,21
CG13843,2
mRRF2,62
CG31161,1
mRpL45,108
loco,263
wake,678
Gclm,838
CG17625,1
wfs1,24
Nup133,20
cd,23
Cyp6d4,73
CCAP,71
CG6972,70
CG13842,2
CG4907,0
wge,282
Irp-1A,118
CG4813,24
CG45049,305
Takl2,4
Dcr-1,12
CG6985,7
vret,3
HP1c,154
CG17141,24
CG31139,0
rumi,9
Usp12-46,105
CG7029,1310
CG4725,20
CG4723,31
CG4721,170
CG13841,464
CG43091,138
CG43092,209
CG43093,260
CG43094,12
CG43095,34
CG7031,9
CG13840,3
CG4704,0
klg,487
CG6660,4
Tpl94D,1
Gbp3,308
Nha2,64
Or94a,0
Or94b,0
CG34375,131
CG6688,1
lmd,20
CG13833,30
CG13838,0
CG13837,0
CG17121,177
p53,63
Gr94a,0
CG17119,18
sav,108
Ublcp1,71
CG17111,314
Cow,5138
CG17110,1
CG6726,22
CG17109,0
CG6733,0
CG6738,0
Rassf,220
CenB1A,545
CG31365,114
CG31457,41
hh,7
unk,2246
VhaAC39-2,0
CG13829,0
Irk1,0
CG46310,939
cnc,3400
fzo,7
CG4467,2984
Rad60,12
EloA,224
wda,18
CG13827,96
orb,431
Cdc16,62
CG6763,4
CG17083,0
bb8,0
pnt,70
DNApol-epsilon255,5
ATPsynCF6,1074
Sec13,125
RpS3,5264
CG4408,31
CG42827,1
CG42828,0
CG4393,247
CG31515,0
CG17380,0
Ir94d,0
Ir94e,1
CG4374,95
CG43694,3
Ir94f,0
Ir94g,0
Ir94h,0
CG34289,0
Irk2,849
CG10177,2
CG10175,323
CG10170,0
CG16732,1
CG10168,0
CG10164,0
beat-IV,244
CG10182,0
CG33337,0
CG16723,0
CG10183,1
CG10184,144
CG31145,832
GILT3,4
GILT2,22
eIF3d1,439
CG16710,2
CG18754,630
SPE,346
CG10254,256
CG10252,0
prt,34
CG31468,0
Gba1a,0
CG31413,0
Gba1b,214
CG10301,1
CG10300,0
nau,1
CG10232,1
CG10365,403
Rpn9,1228
Hmgcr,544
RanBP3,127
Rpt5,847
Hrd3,129
PTPMT1,103
SdhD,1355
CG10217,207
Lsd-1,409
CG10214,104
CG10375,169
tst,97
CG10208,177
Nup98-96,76
mbc,304
CG33111,172
CG34355,1586
eIF4G2,316
Pli,1457
TfIIA-S,454
tbrd-1,0
sba,444
CG31141,0
Ndc1,10
CG13601,85
CG43999,2
CG43998,0
CG31142,35
Rpt2,930
CG13599,0
RpS19b,0
CG5854,385
Gdh,2579
CG12268,233
GluProRS,50
AP-1sigma,1066
CG31140,629
CG13603,820
CG5902,382
CG13604,147
Rab7,1499
CG33108,44
LSm3,26
KrT95D,387
Ime4,12
Miro,435
spas,173
Rox8,813
CG5986,65
Atg6,105
CG5991,292
CG6000,87
Hsp68,652
SMC1,129
eIF4EHP,2889
Syx1A,1207
CG10694,0
CG18428,140
CG13605,74
Root,23
CG13607,130
GatB,78
Tsc1,10
Sec10,101
Npc2f,2
Kal1,224
Slimp,15
p38c,11
p38a,38
CG6178,76
Myo95E,1707
CG6182,125
mRpS24,83
Apc2,8
CG5510,252
CG13606,179
CHORD,15
CG5515,121
jnj,43
CG6204,12
twin,305
CG17786,136
cav,7
Spps,12
CG13609,18
Spase22-23,394
Acp95EF,1
mask,697
beta-PheRS,29
jar,700
Orct2,118
Orct,92
CG13611,0
CG6356,495
CG34290,0
CG6364,899
CG5715,1
crb,523
Nab2,2
BRWD3,29
CG5728,62
Dis3,31
CG6432,0
Ms,1612
CG5746,252
CG6454,491
Golgin84,61
CG18528,31
CG5762,0
CG33339,0
CG33340,0
CG17784,0
CG13613,0
CG42811,0
CG42812,0
CG33341,0
CG13614,0
CG17782,0
CG17781,1
CG33342,0
CG17780,1
CG5768,0
CG13615,0
CG13616,4
nAChRalpha1,1799
CG31128,0
nAChRalpha2,108
nAChRbeta2,1069
CG13617,1
Pp1alpha-96A,1689
CG13622,4
CG13618,25
CG6607,89
CG13623,126
ana1,8
CG5789,335
Esyt2,285
REPTOR,3568
CG13625,12
mld,90
Syx18,99
atl,819
Wsck,73
CG43222,100
puf,130
ash2,109
CG31125,7
CG6695,166
CG31126,26
Ppox,47
slo,3016
CG46316,9
CG13627,0
Rpb10,281
CG13630,163
tok,1016
tld,9
asp,1
AstA,352
CG13631,893
CG42331,1
CG5805,765
Ets96B,4
CG13634,2
Ude,240
polybromo,36
lili,236
CG6980,5
CG34150,83
CG5808,3
Saf-B,1060
niki,0
RabX4,214
CG31357,294
CG43273,21
sosie,373
CG33658,0
Esp,44
CG7006,34
Nct,303
HDAC11,147
CG10899,0
ppk22,46
CG13639,311
CG13640,41
CG7016,55
CG13641,93
Elal,36
CycB3,0
CG3744,106
CG11089,3759
CG31381,9
CG31121,69
CG11069,20
CG13643,4
CG10845,0
PIG-S,21
sud1,28
CG11168,669
Mink,1
Trf4-2,0
CG11771,398
Osbp,509
ssh,256
Nmnat,207
mah,0
tnc,76
beta4GalT7,9
CG11781,183
Hr96,102
Smg6,555
CG6422,424
CG31115,1
bai,444
5PtaseI,340
CG11786,0
CG11790,367
CG11791,1220
CG31109,61
CG31111,9
stac,29
veli,588
PQBP1,26
Stt3B,252
CG11839,20
CG11836,7
shams,22
CG11920,25
fd96Ca,0
fd96Cb,4
CG33096,585
CG33095,0
CG45095,0
CG34027,1
CG13650,98
CG31108,72
CG31510,30
vig2,604
Mocs2,0
CG42503,611
Clbn,106
Bili,226
danr,59
lobo,1
dan,36
CG13653,0
Cad96Ca,270
CG13654,189
CG13663,93
CG31106,1
CG31103,130
CG11851,72
Cad96Cb,6
CG10420,50
CG11852,554
to,426
CG11854,12
bam,1
RpS27,6656
Nup37,3
Nup358,69
CG11857,1350
CG10425,109
CG11858,33
GlnRS,88
RIOK2,38
CG11891,0
CG11889,798
CG11878,1
CG10513,36
CG10514,7
CG11892,0
CG31300,42
CG31104,1
CG13658,0
CG11893,233
CG31098,185
CG31102,38
CG31097,1
CG31288,2
CG13659,3
CG31370,28
CG31436,146
CG10550,913
CG31099,0
CG31087,3
CG10559,19
CG10553,367
CG10560,157
CG10562,449
CHKov1,76
CHKov2,80
CG10669,18
CG11902,23
rha,1
tobi,9
Fur1,2169
ND-49L,0
alrm,557
CG31437,0
Muc96D,2
Vps33B,73
CG4553,16
MED28,34
XNP,190
CG5116,14
CG42488,894
Dhap-at,485
CG5112,311
CG33494,398
CG5107,0
CG5111,0
msi,2588
CG4582,1
ymp,1
Npl4,631
CG5079,54
CG5071,241
Ssadh,359
jigr1,184
Tnks,576
RASSF8,413
Lgr3,1
CG4730,6
CG5039,100
CG4743,89
CG5028,2992
RpL27,2670
CLS,129
LpR2,356
LpR1,831
CG17197,0
CG17198,0
CG17196,0
CG17195,0
CG4956,0
CG4960,0
CG31380,0
CG31093,0
BG642167,3
CG5024,0
CG17770,0
Acam,0
CG14354,0
Mst57Dc,0
Sfp96F,0
Mst57Db,0
Mst57Da,0
alpha4GT2,0
CG14545,1
CG5886,101
CG5890,395
Tsp96F,2381
SppL,583
Lnk,746
CG5913,10
CG5948,9
MCO3,0
CG31091,0
CG31089,1
CG42235,114
CG14546,0
CCAP-R,47
CG14540,0
boss,398
fid,229
Nf1,459
CG43116,0
E(spl)mdelta-HLH,0
E(spl)mgamma-HLH,0
E(spl)mbeta-HLH,151
E(spl)malpha-BFM,4
Kaz-m1,0
E(spl)m2-BFM,24
E(spl)m3-HLH,49
E(spl)m4-BFM,0
E(spl)m5-HLH,0
E(spl)m6-BFM,3
E(spl)m7-HLH,8
E(spl)m8-HLH,0
gro,530
Exo84,45
Vps2,510
Dak1,2262
Sld5,6
CG14543,27
PIG-P,0
CG42498,226
RpL34a,197
CG14544,3
CG14551,0
dysf,8
CG31324,1216
CG14556,8
CG6142,9
CG31323,789
CG31086,0
CG6073,54
CG34130,0
CG34129,0
CG12290,1182
Ald,11422
CG6154,373
CG33970,921
CG6036,0
ppk15,0
CG5432,1
CG6503,6938
CG34291,73
tx,46
Hex-t1,0
Hex-t2,1
CG5447,488
CG43117,8
Pdf,563
CG14237,0
CG14238,1
CG5455,1340
plum,315
scrib,849
TwdlM,0
TwdlP,1
TwdlB,0
TwdlL,0
TwdlO,0
TwdlK,0
TwdlJ,0
TwdlN,0
TwdlH,0
TwdlR,0
TwdlS,0
TwdlD,0
beat-VII,1010
Tb,0
TwdlQ,0
amon,3763
CG6425,6
CG5484,159
CG6420,302
CG14244,0
CG14246,8
CG14245,1
CG6403,0
CG14247,2
CG42789,0
Tl,1559
Lerp,614
IntS12,8
ball,9
His2Av,925
SPARC,1115
Rb97D,935
ms(3)K81,0
CG5500,142
ro,1
T48,389
Ets97D,56
CG46339,477
CG14252,6
CG18472,3
CG6330,987
Tsp97E,2660
Gr97a,0
CG5521,279
CG46313,381
CG14253,0
CG31075,245
CG31076,0
TwdlC,0
RYa-R,11
CG31077,0
CG6296,0
CG6295,0
CG17192,0
CG17191,1
CG6283,0
CG6277,0
CG6271,0
TwdlT,70
Nep5,5
CG34292,0
spz,323
CG43935,1
CG14257,10
Cpr97Ea,440
Cpr97Eb,890
CG14258,6
CG14259,504
eater,40
CG17189,157
caix,10
gb,100
CG5815,135
CG6066,7
CG5880,28
CG5882,0
CG6059,1
CG6051,918
Men-b,3526
grass,136
CG5909,261
ppk31,0
CG34293,133
spn-D,0
Ser,100
CG42813,600
CG42814,0
CG31064,651
CG31068,0
DNApol-alpha73,6
CG17991,0
CG18766,470
CG5984,46
CG5987,5
TfIIA-L,566
pll,58
woc,320
CG14262,0
CG14260,0
l(3)mbt,74
CG5934,201
CG5938,575
mrt,143
CG3368,62
bigmax,143
Hmu,258
CG3348,85
CG3339,2
CG3330,0
CG42534,9
CG46335,1
side,424
CG44290,0
CG43447,0
CG13978,0
Cyp6a18,0
Gr98a,0
CG43139,2
CG5402,1
CG13972,0
CG12885,3
Gr98b,0
Gr98c,0
Gr98d,0
Klp98A,619
CG5646,182
wdb,941
pins,623
CG5639,31
dsd,1093
Tusp,316
CG5612,62
CG5611,46
Mtl,539
tau,892
RpS10a,1
Mlc1,15188
unc80,148
CG5590,446
CG12883,68
Sce,41
CG31055,1
CG12880,256
CG43319,0
Acp98AB,0
CG43320,14
ALiX,711
btz,100
CG12428,592
CG12877,27
Ets98B,673
CG34353,185
Or98a,1
CG12426,1
mil,0
CG5003,111
mRpS22,96
CG33213,14
CG12259,29
BCAS2,57
RpL4,1281
mino,563
CG31053,0
NSD,58
BOD1,34
mfrn,639
Gp93,577
CG4951,21
CG5527,58
CG42487,150
CG4884,0
CG31253,0
CG31131,0
CG4849,24
betaTub97EF,349
CG4815,0
trv,939
CG34354,435
CG43125,0
CG43124,1
CG34436,0
CG34437,64
Mst98Ca,0
Mst98Cb,0
UQCR-14L,0
CG12516,0
larp,3383
Gfat2,383
Moca-cyp,85
Or98b,0
beat-VI,461
CG1894,0
Dhc98D,2
CG31051,80
Ppn,616
mIF2,22
fkh,16
Noa36,86
Hrb98DE,771
CG9986,58
CG10011,402
CG9988,0
CG14062,0
CG31050,0
CG33346,0
Sid,41
CG9990,2884
htt,274
AstA-R2,16
CG10000,0
CG9997,0
aqrs,0
CG34295,0
intr,0
CheB98a,0
wdn,65
CG1646,1116
CG1523,84
CG1647,29
WASp,335
Apc,1584
spg,263
Inx3,2108
CG33203,800
CG14529,15
CG14528,111
CG14523,42
CG14527,1
CG14526,84
Doa,1787
CG11828,2
DIP-gamma,124
wat,1505
CG14518,3
eIF4E6,1
CG1951,139
Ssl2,15
beta4GalNAcTB,72
Cpsf100,16
Slu7,12
Pkc98E,812
CG11837,22
CG11841,219
CG11842,116
CG11843,5
Sirt7,51
Cul5,112
CG11873,189
alpha-Man-Ib,682
CG11876,1960
Atg14,180
yem,40
Ctl2,129
dgt6,16
Vha100-1,1411
CG14512,44
CG14516,87
CG14511,38
CG11882,51
Pglym78,4182
eIF2D,29
Slbp,62
Rpn2,457
CG11897,234
CG11898,0
CG14509,1793
CG14515,14
CG11899,149
Mesh1,13
Cyt-c1L,0
eEF1gamma,1549
Cisd2,1505
Brd8,20
CG14507,1
Usp1,415
CG11951,65
CG31445,94
SP1029,134
stg,9
CG45544,1
CG14506,0
Cnx99A,1181
CG45546,0
Ptp99A,322
CG2321,26
CG2006,50
Spase12,236
CG2310,127
Diedel,14
CG2010,100
Trc8,227
ND-20L,0
Dr,33
CG7567,0
CG11470,0
CG31041,1
alph,1535
CG7568,6
Diedel2,0
CG1907,891
Dop1R2,412
ppk21,0
ppk20,0
ppk30,4
Obp99a,290
ppk19,0
Bub3,78
Cap-D2,7
CG7582,45
Gycalpha99B,186
Obp99c,2312
dmrt99B,7
Obp99d,55
Dup99B,0
Obp99b,323
CG15506,37
CG34296,3
Pcd,553
Naa40,12
CG18731,97
Kul,772
CG7601,81
CIA30,184
CG1969,504
Wdr24,15
IntS11,91
ATPsyngamma,3535
yata,464
kay,576
fig,0
sro,2
CG7837,39
Drice,629
CG7834,1897
CG7789,95
ncd,17
ca,108
Vps16B,11
CG7829,385
neo,16
Atg16,75
CG42592,0
Prtl99C,1
Cad99C,484
dgt1,128
CG7824,25
CG15514,174
RpS8,5977
Zip99C,598
CG34133,203
CG31038,1016
CG15517,0
CG15515,126
CG31036,23
Capa,294
trp,92691
Jon99Ciii,0
Jon99Cii,0
Jon99Ci,0
CG15522,92
alpha-Man-Ic,4
Cog7,28
CG42557,575
CG42558,0
eIF2Balpha,66
Vps13B,77
TkR99D,78
CG7896,15
Acph-1,115
CG7903,165
Sas-6,3
CG15525,68
CG11504,21
CG34298,0
Tace,1293
Nph,223
Nlp,514
CG7912,0
CG7920,2457
Mgat2,771
RpS28a,0
Axn,446
ZIPIC,16
ocn,0
janB,0
janA,155
Sry-alpha,0
Sry-beta,115
Sry-delta,37
RpL32,3419
CG7943,254
CG15528,21
CG7946,179
spn-A,36
CG15526,0
CG34317,558
CG7950,0
sima,647
CG45072,0
CG45073,0
Ppi1,0
CG31029,7
Tpi,4879
AdoR,24
CG15529,309
CG11498,5
CG31030,1308
CG31028,23
Mlc2,58690
CG1983,377
CG15530,0
Bet5,120
CG9747,813
CG15531,1
CG9743,222
RpS7,8861
Anp,0
CecA1,324
CecA2,233
CecB,121
CecC,352
CG43448,28
CG9737,9
CG9733,204
CG34299,0
CG9682,0
CG18404,0
hdc,213
CG34300,0
Fer1HCH,12931
Fer2LCH,2438
CG2217,1014
CG42740,0
CG15535,125
mRpS18C,24
CG15536,33
CG2218,333
CG15533,0
CG15534,0
CG15537,188
Osi23,1
aralar1,1452
CG2224,209
CDase,263
PH4alphaEFB,581
spdo,10
Jon99Fii,0
Jon99Fi,1
PH4alphaSG2,0
PH4alphaMP,1
PH4alphaNE1,0
CG31371,0
PH4alphaSG1,0
CG15539,0
CG34041,0
PH4alphaNE2,0
CG31524,0
CG9698,0
jdp,7777
tmod,8721
CG34155,150
CG9702,2
Rpt6R,49
CG9717,329
CG2246,552
CG31019,4
CG31021,0
PH4alphaNE3,0
CG31016,2
CG44954,0
CG2267,0
CG31013,0
PH4alphaPV,0
CG34432,0
CG34433,0
Spn100A,0
CG12069,0
Pka-C2,0
CG31010,0
eIF4H2,0
CG11313,1
CG15543,1
Npc2g,177
Npc2h,79
zfh1,79
wts,527
dj-1beta,383
cindr,438
CG15544,177
tll,0
Cpr100A,662
CG15545,0
CG15546,420
CG12071,80
CG15547,99
Sap-r,7765
Cyp4c3,48
CG33483,0
Ptx1,4
CG15549,0
CG15550,4
CG15548,0
Ctr1C,1
5-HT7,76
CG31008,3
CG31007,0
CG33773,0
CanA1,35
CG33920,1
Alp4,527
Chchd3,914
dco,1484
Sox100B,0
CG11317,434
CG15553,1
CG11318,7
Prosalpha3T,0
CG15554,12
CG15556,6
Gycbeta100B,1049
stops,702
mesh,1
bnk,0
CG1544,69
chp,4735
Zwilch,3
CG1542,87
CG15561,7
ATPsynC,35286
CG12054,1671
CG15563,1
CG15564,1
qless,805
mRpL32,68
CG1750,3
spn-F,137
CG3669,0
CG18672,0
CG18673,0
ppk24,0
pHCl-2,0
CG34347,298
gskt,0
CG1607,1970
CG31204,0
CG31002,0
Gcn2,100
PNPase,24
Gprk2,572
lox,2
CG11334,94
CG11333,1
mey,6
nyo,9
gammaCOP,317
pygo,129
rod,10
CG1635,211
CG1638,4
CG1774,100
RpL6,4192
CycG,15948
Med,149
CG11539,45
CG1792,37
pasha,69
kek6,309
CG1815,200
CG11550,475
CG42693,0
ttk,582
CstF50,35
CG11563,68
eEF1alpha2,9400
CG1890,175
CG1896,43
awd,3138
nero,136
CG1910,130
salt,0
CG2187,0
Smvt,0
CG2150,7
betaGlu,28
sip3,150
CG2126,126
faf,826
CG2118,102
Acf,69
CG42233,29
Ir100a,0
CG1971,8
CG11576,261
FeCH,317
RhoGAP100F,997
heph,2871
CG2003,223
CG2053,1
krz,1582
mod,564
Map205,540
mthl8,63
CG43149,294
Lsp1gamma,82
CG13405,0
CG12483,90
Pdk1,2746
CG6845,3
Dic61B,0
p130CAS,214
CG7049,67
Vdup1,342
CG13875,31
Mkp,0
CG34140,386
Mtch,874
rno,203
mri,44
Gk1,94
NitFhit,93
CG13876,46
CG7028,140
thoc7,52
Dis3l2,83
Kaz1-ORFB,348
pyx,25
CG13877,17
CG33229,3488
CG42846,76
CG34454,267
CG34453,30
E(bx),1237
mthl14,8
DIP2,146
wac,65
Tudor-SN,607
mRpL17,234
CG34263,0
miple1,8318
miple2,156
CG32845,1
ttm2,1
RhoGEF3,520
fwd,962
ddbt,0
CG32344,29
Atac3,58
Ptpmeg,684
mthl9,45
mthl10,110
mth,115
CG1231,17
Cdc5,135
Roc1b,1
CG1233,127
CG13884,0
trh,83
CG13891,5
klar,836
CG34267,1
CG34268,0
CG34269,0
CG17180,55
Cypl,35
Hipk,2206
Ppm1,3
Kah,224
MED14,165
CG13893,433
Reg-2,354
CG43337,1
Gale,1280
CG3402,267
MED30,23
Rev1,47
CG17129,2
CG3386,88
ebd1,45
CG3344,0
CG32483,0
RabX6,236
Vti1a,288
CG13894,23
CG13895,27
CkIIalpha-i3,40
CG13896,27
hng3,34
emc,1474
CG13898,1
Sf3b3,3426
CG42553,50
CG42554,83
CG13901,17
CG13887,1549
CG13902,28
Gr61a,2
cep290,1
CG13890,203
dpr20,126
CG12502,774
Usp10,917
CG13907,1999
CG34056,125
CG34057,8
CG13905,0
nerfin-1,7
Glut1,2418
CG12038,107
trio,2438
CG9205,160
bab1,34
bab2,367
CG13912,65
Trh,159
LysX,3
Aplip1,1469
mwh,108
CG32335,0
CG9119,237
LysB,1
LysD,0
LysE,1
LysP,5
LysS,3
CG33965,0
CG33966,0
CG9194,11
CG9192,9
Klp61F,3
CG32318,0
Psf1,0
Sac1,379
CG9129,0
CG9130,1
CG9133,0
tfc,50
CG32333,325
Rabex-5,41
scf,182
Rac1,320
CG9149,159
CG2277,486
Ctr9,208
CG9186,541
Sherpa,546
Myo61F,27
CG9184,0
ND-ACP,2167
msd1,3
msd5,9
CG2211,95
l(3)02640,353
CG2199,66
Ptp61F,336
312,53
ru,58
CG32320,53
CG9168,0
FucTD,0
CG9173,0
SA-2,0
rho,1156
Naa30B,0
stet,16
robl62A,1
CG12084,814
hfp,393
Psa,956
cue,465
Iml1,106
Ir62a,9
CG12091,1539
pns,1029
CG32313,4
Pcyt1,970
Pcyt2,237
CG12099,238
Pex10,10
CG7879,59
CG12003,3
CG12004,1360
CG13917,907
CG12104,174
CG33791,0
CG18170,82
CG12105,10
CG13926,24
CG33230,24
ABCB7,265
GC,55
CG13928,4916
nSyb,3935
metl,66
Bgb,343
alphaCOP,158
CG13919,24
CG17249,12
Bro,0
CG13920,968
Vta1,268
CG7970,212
CG7971,1006
CG7974,27
RpL23A,640
RabX5,32
CG13930,0
CG7991,12
CG12011,0
CG13931,3
drpr,1229
CG18171,9
CG12035,1
Oseg4,200
PIG-Wb,0
Gk2,348
CG13921,86
Cht2,309
CG8001,66
Dhc62B,4
CG13933,127
CG12018,17
CG2021,50
mRpL46,77
alpha-Spec,1928
dlt,8
Cdc37,191
CG12020,0
Patj,350
JTBR,134
CG42676,206
GV1,343
Cpr62Ba,7
Cpr62Bb,622
Cpr62Bc,918
CNMa,8
CG12024,173
Rap1,294
HBS1,59
CG12025,3494
CG13924,0
dre4,45
CG13937,86
Aprt,80
Tmhs,68
dsb,369
Dbx,7
CG5687,626
Mfap1,100
mu2,9
Cnb,7
mv,358
SCOT,255
CG1927,554
CG11815,0
CG1139,1
CG42841,0
CG42357,1
CG42356,0
CG34259,0
CG42355,0
sls,1485
zormin,123
CG15822,25
CG15879,16
CG5704,62
CG15820,3
CG13810,0
CG5707,193
CG8960,0
CG15878,2
Oseg2,6
CG9018,39
ACXD,76
CG32301,0
CG32305,0
CG1275,1742
CG2034,73
oxt,223
CG13807,37
ecd,82
CG13806,0
obst-I,0
CG32302,1
yellow-g,13
yellow-g2,0
MsR2,45
MsR1,422
CG13801,0
CG1317,1145
CG8993,651
mRpL23,199
CG9004,18
CG15877,12
Svil,867
CG42787,5
CG32298,0
CG32299,0
CG16762,0
Cyp4d20,56
CG1146,57
CG16758,1355
Spn,1646
CG32295,0
msn,1657
RpL8,4160
dos,363
CG16984,3
CG12182,73
CG16985,42
CG16986,151
Pxn,194
CG42245,2400
MEP-1,0
CG14949,10
CG1143,114
CG1246,0
ProRS-m,197
CG42304,0
Snup,254
Fife,1467
CG33233,2
CG33234,0
Mrtf,140
Acp62F,0
Non2,168
AhcyL1,515
CG12093,105
Atg2,197
mRpS35,109
pgant6,101
Tet,618
spz5,143
Shab,354
CG9970,0
CG32846,0
CG34025,0
Or63a,53
CPT2,198
CG2113,0
FMRFaR,84
CG32488,1
CG32487,0
aly,0
CG2162,485
Jafrac2,34
scramb2,344
Sk2,206
CG32485,724
CG1271,136
CG16753,23
CG32486,1653
CG11486,1286
Cht7,507
CG45066,0
CG45067,0
prominin-like,784
CG11537,1590
CG1291,36
Usp5,108
BtbVII,836
ND-30,608
CG15812,102
rasp,6
Asciz,8
CG32280,1276
CG32278,1102
CG32281,9
CG14963,1
CG14964,54
Girdin,217
CG42494,6
CG32284,7
CG14957,1
CG42525,0
CG14958,0
CG14965,8
Hsp83,11800
CG14966,24
CG32276,2538
gry,193
CG32271,65
CG33159,7
CG32277,0
CG33160,0
CG32269,0
CG32270,0
CG14967,95
CG12034,102
RpL28,1329
eIF1,2178
CG11505,931
CG17746,985
CG12078,0
CG43389,0
ckd,159
CG34265,13
CG14960,0
CG12017,1
CG12009,0
